"module name","license","repository"
"@alloc/types@1.3.0","MIT",""
"@apollo/client@3.2.4","MIT","https://github.com/apollographql/apollo-client"
"@apollo/protobufjs@1.0.5","BSD-3-Clause","https://github.com/apollographql/protobuf.js"
"@apollo/react-common@3.1.3","MIT","https://github.com/apollographql/react-apollo"
"@apollo/react-components@3.1.3","MIT","https://github.com/apollographql/react-apollo"
"@apollo/react-hooks@3.1.3","MIT","https://github.com/apollographql/react-apollo"
"@apollographql/apollo-tools@0.4.8","MIT","https://github.com/apollographql/apollo-tooling"
"@apollographql/graphql-playground-html@1.6.26","MIT","https://github.com/graphcool/graphql-playground"
"@atlaskit/tree@7.1.2","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@babel/code-frame@7.5.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"@babel/highlight@7.5.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight"
"@babel/polyfill@7.7.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-polyfill"
"@babel/runtime-corejs2@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime-corejs2"
"@babel/runtime@7.12.18","MIT","https://github.com/babel/babel"
"@google-cloud/common@3.6.0","Apache-2.0","https://github.com/googleapis/nodejs-common"
"@google-cloud/logging-winston@4.0.4","Apache-2.0","https://github.com/googleapis/nodejs-logging-winston"
"@google-cloud/logging@9.0.2","Apache-2.0","https://github.com/googleapis/nodejs-logging"
"@google-cloud/paginator@3.0.5","Apache-2.0","https://github.com/googleapis/nodejs-paginator"
"@google-cloud/projectify@2.0.1","Apache-2.0","https://github.com/googleapis/nodejs-projectify"
"@google-cloud/promisify@2.0.3","Apache-2.0","https://github.com/googleapis/nodejs-promisify"
"@graphql-tools/merge@6.0.8","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/schema@6.0.8","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/utils@6.0.8","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-typed-document-node/core@3.1.0","MIT","https://github.com/dotansimha/graphql-typed-document-node"
"@grpc/grpc-js@1.2.8","Apache-2.0","https://github.com/grpc/grpc-node/tree/master/packages/grpc-js"
"@grpc/proto-loader@0.5.6","Apache-2.0","https://github.com/grpc/grpc-node"
"@icons/material@0.2.4","MIT","https://github.com/at-icons/material"
"@john-osullivan/react-window-dynamic-fork@1.9.0-alpha.1","MIT","https://github.com/bvaughn/react-window"
"@nivo/annotations@0.67.0","MIT","https://github.com/plouc/nivo"
"@nivo/axes@0.67.0","MIT","https://github.com/plouc/nivo"
"@nivo/bar@0.67.0","MIT","https://github.com/plouc/nivo"
"@nivo/colors@0.67.0","MIT","https://github.com/plouc/nivo"
"@nivo/core@0.67.0","MIT","https://github.com/plouc/nivo"
"@nivo/legends@0.67.0","MIT","https://github.com/plouc/nivo"
"@nivo/line@0.67.0","MIT","https://github.com/plouc/nivo"
"@nivo/pie@0.67.0","MIT","https://github.com/plouc/nivo"
